mass_A
t	x
2.277275000E1	-4.389902529E1
2.278943333E1	-2.797808790E1
2.280611667E1	-8.757733617E0
2.282280000E1	1.222919950E1
2.283948333E1	3.084110688E1
2.285616667E1	4.462057588E1
2.287285000E1	5.369519599E1
2.288953333E1	5.700092211E1
2.290621667E1	5.309221078E1
2.292290000E1	4.160850389E1
2.293958333E1	2.527133263E1
2.295626667E1	6.869329634E0
2.297295000E1	-1.266058753E1
2.298963333E1	-3.225598234E1
2.300631667E1	-4.825063242E1
2.302300000E1	-5.842270262E1
2.303968333E1	-6.190062221E1
2.305636667E1	-6.014071100E1
2.307305000E1	-5.207879045E1
2.308973333E1	-3.726235371E1
2.310641667E1	-1.873835772E1
2.312310000E1	4.186818299E-1
2.313978333E1	1.936372512E1
2.315646667E1	3.663445185E1
2.317315000E1	4.992634836E1
2.318983333E1	5.605937476E1
2.320651667E1	5.510678877E1
2.322320000E1	4.832762379E1
2.323988333E1	3.607746450E1
2.325656667E1	1.849139223E1
2.327325000E1	-1.964185475E0
2.328993333E1	-2.159083927E1
2.330661667E1	-3.848230504E1
2.332330000E1	-5.199040565E1
2.333998333E1	-6.095254911E1
2.335666667E1	-6.218560778E1
2.337335000E1	-5.646164659E1
2.339003333E1	-4.601624102E1
2.340671667E1	-3.090736958E1
2.342340000E1	-1.182372803E1
2.344008333E1	8.748944869E0
2.345676667E1	2.709268093E1
2.347345000E1	4.171387471E1
2.349013333E1	5.212455004E1
2.350681667E1	5.656866091E1
2.352350000E1	5.375583720E1
2.354018333E1	4.377586394E1
2.355686667E1	2.894780326E1
2.357355000E1	1.139589108E1
2.359023333E1	-8.264908444E0
2.360691667E1	-2.789667414E1
2.362360000E1	-4.406910061E1
2.364028333E1	-5.503467551E1
2.365696667E1	-6.017412096E1
2.367365000E1	-5.995269441E1
2.369033333E1	-5.279271022E1
2.370701667E1	-3.916482127E1
2.372370000E1	-2.206540744E1
2.374038333E1	-3.370142999E0
2.375706667E1	1.621993711E1
2.377375000E1	3.402844161E1
2.379043333E1	4.723931649E1
2.380711667E1	5.420538324E1
2.382380000E1	5.506107083E1
2.384048333E1	4.990702013E1
2.385716667E1	3.862438858E1
2.387385000E1	2.193816301E1
2.389053333E1	2.716557238E0
2.390721667E1	-1.630093521E1
2.392390000E1	-3.375250735E1
2.394058333E1	-4.854919295E1
2.395726667E1	-5.797676500E1
2.397395000E1	-6.031357392E1
2.399063333E1	-5.637162513E1
2.400731667E1	-4.727001066E1
2.402400000E1	-3.285590510E1
2.404068333E1	-1.438412042E1
2.405736667E1	5.584844037E0
2.407405000E1	2.400256114E1
2.409073333E1	3.945232627E1
2.410741667E1	5.074815054E1
2.412410000E1	5.611608950E1
2.414078333E1	5.399449638E1
2.415746667E1	4.534889178E1
2.417415000E1	3.199732854E1
2.419083333E1	1.488089493E1
2.420751667E1	-4.564698486E0
2.422420000E1	-2.408388635E1
2.424088333E1	-4.030776849E1
2.425756667E1	-5.204990577E1
2.427425000E1	-5.869856848E1
2.429093333E1	-5.957884651E1
2.430761667E1	-5.350556135E1
2.432430000E1	-4.156063379E1
2.434098333E1	-2.586908762E1
2.435766667E1	-7.355650285E0
2.437435000E1	1.209055227E1
2.439103333E1	3.005712845E1
2.440771667E1	4.383618257E1
2.442440000E1	5.213445315E1
2.444108333E1	5.435898024E1
2.445776667E1	5.016837292E1
2.447445000E1	3.989362710E1
2.449113333E1	2.413587411E1
2.450781667E1	6.011002656E0
2.452450000E1	-1.308923287E1
2.454118333E1	-3.094729096E1
2.455786667E1	-4.618399308E1
2.457455000E1	-5.594398760E1
2.459123333E1	-5.942633365E1
2.460791667E1	-5.706275989E1
2.462460000E1	-4.903351173E1
2.464128333E1	-3.529589335E1
2.465796667E1	-1.786967987E1
2.467465000E1	1.318611206E0
2.469133333E1	1.944992179E1
2.470801667E1	3.536582188E1
2.472470000E1	4.742504067E1
2.474138333E1	5.326312386E1
2.475806667E1	5.225994607E1
2.477475000E1	4.517599267E1
2.479143333E1	3.303641723E1
2.480811667E1	1.666972224E1
2.482480000E1	-2.332856520E0
2.484148333E1	-2.107821207E1
2.485816667E1	-3.773284265E1
2.487485000E1	-5.049491979E1
2.489153333E1	-5.799298251E1
2.490821667E1	-5.974185048E1
2.492490000E1	-5.455750688E1
2.494158333E1	-4.405101347E1
2.495826667E1	-2.907089695E1
2.497495000E1	-1.116868091E1
2.499163333E1	8.189322744E0
2.500831667E1	2.589646080E1
2.502500000E1	4.020992877E1
2.504168333E1	4.946080296E1
2.505836667E1	5.297732403E1
2.507505000E1	4.999985810E1
2.509173333E1	4.044733450E1
2.510841667E1	2.598110948E1
2.512510000E1	8.518546275E0
2.514178333E1	-1.006078393E1
2.515846667E1	-2.804013749E1
2.517515000E1	-4.368063949E1
2.519183333E1	-5.417111616E1
2.520851667E1	-5.901550586E1
2.522520000E1	-5.802192774E1
2.524188333E1	-5.100593885E1
2.525856667E1	-3.833758214E1
2.527525000E1	-2.141583120E1
2.529193333E1	-2.875402773E0
2.530861667E1	1.535296817E1
2.532530000E1	3.188049681E1
