mass_A
t	x
8.411736667E1	3.644272455E1
8.415073333E1	2.053653642E1
8.418410000E1	7.461084884E0
8.421746667E1	2.501534783E0
8.425083333E1	8.456897455E0
8.428420000E1	2.227421605E1
8.431756667E1	3.754472145E1
8.435093333E1	4.747930493E1
8.438430000E1	4.843727887E1
8.441766667E1	3.958967883E1
8.445103333E1	2.457020448E1
8.448440000E1	1.055950708E1
8.451776667E1	3.360101530E0
8.455113333E1	6.460943738E0
8.458450000E1	1.854771668E1
8.461786667E1	3.358824739E1
8.465123333E1	4.575319946E1
8.468460000E1	4.941142324E1
8.471796667E1	4.254677097E1
8.475133333E1	2.850318382E1
8.478470000E1	1.377016250E1
8.481806667E1	4.406951035E0
8.485143333E1	4.519205279E0
8.488480000E1	1.468814143E1
8.491816667E1	2.952438663E1
8.495153333E1	4.342414312E1
8.498490000E1	4.946309674E1
8.501826667E1	4.542760979E1
8.505163333E1	3.254492201E1
8.508500000E1	1.753562059E1
8.511836667E1	6.035519301E0
8.515173333E1	3.564516974E0
8.518510000E1	1.149804076E1
8.521846667E1	2.552018075E1
8.525183333E1	4.043755291E1
8.528520000E1	4.864026804E1
8.531856667E1	4.728750944E1
8.535193333E1	3.646451621E1
8.538530000E1	2.159281535E1
8.541866667E1	8.450708697E0
8.545203333E1	3.409742022E0
8.548540000E1	8.629877486E0
8.551876667E1	2.149043562E1
8.555213333E1	3.662285906E1
8.558550000E1	4.740277526E1
8.561886667E1	4.849432906E1
8.565223333E1	3.983026463E1
8.568560000E1	2.552164834E1
8.571896667E1	1.130170721E1
8.575233333E1	3.583346466E0
8.578570000E1	6.449739749E0
8.581906667E1	1.747372707E1
8.585243333E1	3.315544923E1
8.588580000E1	4.542229838E1
8.591916667E1	4.933277724E1
8.595253333E1	4.295245807E1
8.598590000E1	2.928928196E1
8.601926667E1	1.455717331E1
8.605263333E1	4.770379242E0
8.608600000E1	4.626386537E0
8.611936667E1	1.447281849E1
8.615273333E1	2.949049133E1
8.618610000E1	4.252700313E1
8.621946667E1	4.888122364E1
8.625283333E1	4.517375013E1
8.628620000E1	3.352755198E1
8.631956667E1	1.826329601E1
8.635293333E1	6.497151150E0
8.638630000E1	3.575814922E0
8.641966667E1	1.117950377E1
8.645303333E1	2.545780186E1
8.648640000E1	3.951592042E1
8.651976667E1	4.832783068E1
8.655313333E1	4.727524844E1
8.658650000E1	3.666605307E1
8.661986667E1	2.232337074E1
8.665323333E1	8.859165209E0
8.668660000E1	3.507488442E0
8.671996667E1	8.515040846E0
8.675333333E1	2.154745484E1
8.678670000E1	3.657905802E1
8.682006667E1	4.656308677E1
8.685343333E1	4.817968424E1
8.688680000E1	4.051423885E1
8.692016667E1	2.625980838E1
8.695353333E1	1.176512233E1
8.698690000E1	4.521180289E0
8.702026667E1	6.334783528E0
8.705363333E1	1.752389168E1
8.708700000E1	3.236171726E1
8.712036667E1	4.454090876E1
8.715373333E1	4.857303406E1
8.718710000E1	4.263464640E1
8.722046667E1	2.944843305E1
8.725383333E1	1.522745723E1
8.728720000E1	5.321540912E0
8.732056667E1	4.702666805E0
8.735393333E1	1.418364173E1
8.738730000E1	2.844780433E1
8.742066667E1	4.217808857E1
8.745403333E1	4.859690605E1
8.748740000E1	4.538691029E1
8.752076667E1	3.351026204E1
8.755413333E1	1.844474802E1
8.758750000E1	7.268560046E0
8.762086667E1	4.319588529E0
8.765423333E1	1.141099510E1
8.768760000E1	2.459314986E1
8.772096667E1	3.939199407E1
8.775433333E1	4.833497351E1
8.778770000E1	4.745299915E1
8.782106667E1	3.746054680E1
8.785443333E1	2.255313545E1
8.788780000E1	9.473668978E0
8.792116667E1	4.421254652E0
8.795453333E1	8.453525033E0
8.798790000E1	2.113039845E1
8.802126667E1	3.611853117E1
8.805463333E1	4.641730945E1
8.808800000E1	4.858264995E1
8.812136667E1	4.067122757E1
8.815473333E1	2.654536885E1
8.818810000E1	1.246416061E1
8.822146667E1	4.509876272E0
8.825483333E1	6.470071520E0
8.828820000E1	1.745224399E1
8.832156667E1	3.243185622E1
8.835493333E1	4.456351359E1
8.838830000E1	4.845423976E1
8.842166667E1	4.350704150E1
8.845503333E1	3.049467712E1
8.848840000E1	1.559741075E1
8.852176667E1	5.593311667E0
8.855513333E1	5.427645419E0
8.858850000E1	1.362848335E1
8.862186667E1	2.836007822E1
8.865523333E1	4.164489436E1
8.868860000E1	4.848937039E1
8.872196667E1	4.549871650E1
8.875533333E1	3.430762105E1
8.878870000E1	1.937553180E1
8.882206667E1	7.462644567E0
8.885543333E1	4.554568899E0
8.888880000E1	1.054332576E1
8.892216667E1	2.435433657E1
8.895553333E1	3.856707618E1
8.898890000E1	4.753143032E1
8.902226667E1	4.729221028E1
8.905563333E1	3.757124014E1
8.908900000E1	2.351550173E1
8.912236667E1	1.045766117E1
8.915573333E1	4.506669614E0
8.918910000E1	8.544412351E0
8.922246667E1	2.040695359E1
8.925583333E1	3.514405857E1
8.928920000E1	4.545619843E1
8.932256667E1	4.752893025E1
8.935593333E1	4.057323269E1
8.938930000E1	2.661325366E1
8.942266667E1	1.256522123E1
8.945603333E1	4.495565415E0
8.948940000E1	6.519314870E0
8.952276667E1	1.650238967E1
8.955613333E1	3.140156646E1
